Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Denmark,-31%,+4%,+50%,-52%,-23%,+8%
Capital_Region_of_Denmark,-44%,+1%,+38%,-60%,-27%,+9%
Central_Denmark_Region,-32%,+3%,+28%,-48%,-24%,+9%
North_Denmark_Region,-27%,+5%,+8%,-49%,-21%,+9%
Region_Zealand,-11%,+9%,+157%,-41%,-18%,+7%
Region_of_Southern_Denmark,-24%,+7%,+63%,-49%,-20%,+8%
