Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Rhode_Island,-45%,-4%,+45%,-57%,-40%,+15%
Bristol_County,-47%,-36%,Not enough data for this date,Not enough data for this date,-39%,+22%
Kent_County,-42%,+3%,+72%,-69%,-38%,+13%
Newport_County,-43%,-8%,-1%,-41%,-40%,+24%
Providence_County,-48%,-7%,+52%,-56%,-42%,+15%
Washington_County,-39%,-7%,+91%,-40%,-33%,+14%
